timestamp_ms,pass_id,row_index,x_m,y_m,zone_id,target_rate_kg_ha,target_mass_g_min,strategy_opening_mm,target_speed_r_min,selected_model,domain_status,status
1400,1,5,2.333333333333334,2.4,A,260.0,1560.0000312,20.0,27.220338821411133,inverse_KAN,in_domain,ok
1400,1,6,2.333333333333334,3.0,A,260.0,1560.0000312,20.0,27.220338821411133,inverse_KAN,in_domain,ok
1600,1,1,2.6666666666666674,0.0,A,260.0,1560.0000312,20.0,27.220338821411133,inverse_KAN,in_domain,ok
1600,1,2,2.6666666666666674,0.6,A,260.0,1560.0000312,20.0,27.220338821411133,inverse_KAN,in_domain,ok
1600,1,3,2.6666666666666674,1.2,A,260.0,1560.0000312,20.0,27.220338821411133,inverse_KAN,in_domain,ok
1600,1,4,2.6666666666666674,1.8,A,260.0,1560.0000312,20.0,27.220338821411133,inverse_KAN,in_domain,ok
1600,1,5,2.6666666666666674,2.4,A,260.0,1560.0000312,20.0,27.220338821411133,inverse_KAN,in_domain,ok
1600,1,6,2.6666666666666674,3.0,A,260.0,1560.0000312,20.0,27.220338821411133,inverse_KAN,in_domain,ok
1800,1,1,3.000000000000001,0.0,A,260.0,1560.0000312,20.0,27.220338821411133,inverse_KAN,in_domain,ok
1800,1,2,3.000000000000001,0.6,A,260.0,1560.0000312,20.0,27.220338821411133,inverse_KAN,in_domain,ok
1800,1,3,3.000000000000001,1.2,A,260.0,1560.0000312,20.0,27.220338821411133,inverse_KAN,in_domain,ok
1800,1,4,3.000000000000001,1.8,A,260.0,1560.0000312,20.0,27.220338821411133,inverse_KAN,in_domain,ok
1800,1,5,3.000000000000001,2.4,A,260.0,1560.0000312,20.0,27.220338821411133,inverse_KAN,in_domain,ok
1800,1,6,3.000000000000001,3.0,A,260.0,1560.0000312,20.0,27.220338821411133,inverse_KAN,in_domain,ok
2000,1,1,3.3333333333333344,0.0,A,420.0,2520.0000504,20.0,43.91107940673828,inverse_KAN,in_domain,ok
2000,1,2,3.3333333333333344,0.6,A,420.0,2520.0000504,20.0,43.91107940673828,inverse_KAN,in_domain,ok
